Прайс-лист на 23 сентября 2026 г.									

Ценовая группа		Розничная	АКЦИЯ
	Коммутатор COM 100UD	2 900,00	2 800,00
	Коммутатор COM 160U	2 366,00	2 366,00
	Коммутатор COM 80U	1 869,00	1 869,00
	Коммутатор COM 80UD	2 250,00	2 100,00
	Коммутатор Optimus U1E-8F/2G_v.1	5 707,00	4 851,00
	Коммутатор Optimus U1EN-5G	1 804,00	1 533,00
	Коммутатор Optimus U1I-4F1b/1F	2 886,00	2 500,00
	Коммутатор Optimus U1I-4F1b/2F	4 371,00	3 715,00
	Коммутатор Optimus U1I-4F1b/2F -  v.1	3 480,00	2 960,00
	Коммутатор Optimus U1I-8F2b/1F	5 514,00	4 687,00
	Коммутатор Optimus U1I-8F2b/1F POE	11 987,00	10 189,00
	Коммутатор Optimus U1IC-4F/2F	2 800,00	2 300,00
	Коммутатор Optimus U1IC-8F/2G	4 600,00	3 900,00
	Коммутатор Optimus U2I-4F1b/2F	8 487,00	7 214,00
	Коммутатор Optimus U2I-8F1b/2F	12 921,00	10 983,00
	Коммутатор TP-Link LS1005 5*100 Mb	1 000,00	950,00
	Коммутатор TP-Link LS1005G 5G неуправляемый	698,00	673,00
	Коммутатор TP-Link LS1008 8х100Мб	1 000,00	950,00
	Коммутатор TP-Link TL-WR820N	1 500,00	1 400,00
	Коммутатор Визит БК 10	1 200,00	1 150,00
	Комплект автоматики для двустворчатых распашных ворот CAME AXL RC	41 800,00	41 800,00
	Комплект аудиодомофона EL AIS-01	4 826,00	4 700,00
	Комплект видеодомофона Optimus Leader 2.0IK-4,0 (w+b)	9 397,00	7 987,00
